Step     0, Loss:  2.48, Accuracy:   3.12%, Time usage:  0m  3s .
Step  8700, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 43s .
Step  8800, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 45s .
Step  8900, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 48s .
Step  9000, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 53s .
Step  9100, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 56s .
Step  9200, Loss:  0.01, Accuracy:  99.22%, Time usage:  4m 58s .
Step  9300, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m  0s .
Step  9400, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m  6s .
Step  9500, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m  8s .
Step  9600, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 11s .
Step  9700, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 13s .
Step  9800, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 16s .
Step  9900, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 21s .
Step 10000, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 24s .
Step 10100, Loss:  0.06, Accuracy:  99.22%, Time usage:  5m 26s .
Step 10200, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 29s .
Step 10300, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 31s .
Step 10400, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 36s .
Step 10500, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 39s .
Step 10600, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 42s .
Step 10700, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 45s .
Step 10800, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 51s .
Step 10900, Loss:  0.01, Accuracy:  99.22%, Time usage:  5m 54s .
Step 11000, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 56s .
Step 11100, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 59s .
Step 11200, Loss:  0.04, Accuracy:  99.22%, Time usage:  6m  1s .
Step 11300, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m  7s .
Step 11400, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 10s .
Step 11500, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 12s .
Step 11600, Loss:  0.01, Accuracy: 100.00%, Time usage:  6m 15s .
Step 11700, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 18s .
Step 11800, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 24s .
Step 11900, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 27s .
Step 12000, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 29s .
