Step     0, Loss:  6.91, Accuracy:   0.00%, Time usage:  0m  3s .
Step 12300, Loss:  0.12, Accuracy:  96.09%, Time usage: 13m  3s .
Step 12400, Loss:  0.12, Accuracy:  94.53%, Time usage: 13m  9s .
Step 12500, Loss:  0.09, Accuracy:  98.44%, Time usage: 13m 14s .
Step 12600, Loss:  0.11, Accuracy:  95.31%, Time usage: 13m 20s .
Step 12700, Loss:  0.11, Accuracy:  95.31%, Time usage: 13m 29s .
Step 12800, Loss:  0.13, Accuracy:  96.88%, Time usage: 13m 34s .
Step 12900, Loss:  0.18, Accuracy:  92.19%, Time usage: 13m 40s .
Step 13000, Loss:  0.11, Accuracy:  95.31%, Time usage: 13m 46s .
Step 13100, Loss:  0.19, Accuracy:  92.97%, Time usage: 13m 51s .
Step 13200, Loss:  0.17, Accuracy:  92.97%, Time usage: 14m  0s .
Step 13300, Loss:  0.14, Accuracy:  94.53%, Time usage: 14m  6s .
Step 13400, Loss:  0.13, Accuracy:  96.09%, Time usage: 14m 11s .
Step 13500, Loss:  0.14, Accuracy:  94.53%, Time usage: 14m 17s .
Step 13600, Loss:  0.20, Accuracy:  71.09%, Time usage: 14m 22s .
Step 13700, Loss:  0.14, Accuracy:  96.09%, Time usage: 14m 31s .
Step 13800, Loss:  0.07, Accuracy:  97.66%, Time usage: 14m 36s .
Step 13900, Loss:  0.07, Accuracy:  97.66%, Time usage: 14m 42s .
Step 14000, Loss:  0.18, Accuracy:  92.19%, Time usage: 14m 48s .
 Time usage of train: 14m 48s .
Step     0, Loss:  0.34, Accuracy:  89.06%, Time usage:  0m  0s .
Test Loss:  0.34, Accuracy: 89.73%
test correctL:8973, len of test:10000
Time Usage:  0.07 mins.
The accuracy of plane: 0.839
The accuracy of car: 0.981
The accuracy of bird: 0.817
The accuracy of cat: 0.896
The accuracy of deer: 0.861
The accuracy of dog: 0.982
The accuracy of frog: 0.736
The accuracy of horse: 0.961
The accuracy of ship: 0.961
The accuracy of truck: 0.939
