Step     0, Loss:  2.36, Accuracy:  13.28%, Time usage:  0m  2s .
Step 13700, Loss:  0.02, Accuracy: 100.00%, Time usage: 17m 15s .
Step 13800, Loss:  0.02, Accuracy:  99.22%, Time usage: 17m 23s .
Step 13900, Loss:  0.02, Accuracy: 100.00%, Time usage: 17m 31s .
Step 14000, Loss:  0.06, Accuracy:  96.88%, Time usage: 17m 38s .
 Time usage of train: 17m 38s .
Step     0, Loss:  0.41, Accuracy:  89.06%, Time usage:  0m  0s .
Test Loss:  0.38, Accuracy: 90.88%
test correctL:9088, len of test:10000
Time Usage:  0.07 mins.
The accuracy of plane: 0.867
The accuracy of car: 0.984
The accuracy of bird: 0.891
The accuracy of cat: 0.914
The accuracy of deer: 0.839
The accuracy of dog: 0.967
The accuracy of frog: 0.717
The accuracy of horse: 0.978
The accuracy of ship: 0.979
The accuracy of truck: 0.952
