Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 58m 49s .
Epoch:   300 processes:    0 Step   300, Loss:  0.03, Accuracy:  99.22%, Time usage: 59m 41s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 60m 34s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 57m  8s .
Epoch:   100 processes:    1 Step   100, Loss:  0.03, Accuracy:  98.44%, Time usage: 58m  1s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 58m 52s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 59m 44s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 60m 37s .
 Time usage of train: 61m  7s .
Step     0, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m  2s .
Test Loss:  0.05, Accuracy: 99.06%
test correctL:9906, len of test:10000
Time Usage:  0.22 mins.
The accuracy of plane: 0.9918367346938776
The accuracy of car: 0.9973568281938326
The accuracy of bird: 0.9951550387596899
The accuracy of cat: 0.996039603960396
The accuracy of deer: 0.9867617107942973
The accuracy of dog: 0.9786995515695067
The accuracy of frog: 0.988517745302714
The accuracy of horse: 0.9922178988326849
The accuracy of ship: 0.9928131416837782
The accuracy of truck: 0.9841427155599604
